roost_site,latitude_s,longitude_e,researchers_present,collection_date,net_night,bat_species,sampleid,ORIGINAL,bartonella_E1,bartonella_E2,bartonella_E3,bartonella_E4,bartonella_E5,bartonella_Ew,bartonella_new1,bartonella_Ra1,gltA_ying,nuoG_chris,old_bart,chris_bart,sample_type,source,bartonella_precense_absence,PCR_markers_tested_bartonella,confirmed_by_sequencing,age_by_tooth,cc,tooth_type,,tag_color,tag_side,unique_tag_id,full_tag_description,recap,previous_id1,previous_id2,previous_id3,previous_id4,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,check_hair_clip,check_wing_biop,bat_flies,meglastreblidae,fleas,mites,ticks,check_urine,feces_utm,throat_utm,feces_microbiome,serum_vol_ul,plasma_vol_ul,rna_protect_vol_ul,check_slides_thick,check_slides_thin,check_blood_filter,performed_tooth_extraction,toothwear,temperature_notes,additional_notes,performed_anesthesia,drugs_lidocaine,drugs_metacam_ml,drugs_la_200_ml,duration_extraction_min,anesthesia_notes,necropsy,liver_rna_later,spleen_rna_later,kidney_rna_later,brain_rna_later,liver_plain,spleen_plain,kidney_plain,brain_plain,liver_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth,tooth_type,blood_bka_quantity_ul,duplicate_id,
Maromizaha,-18.9623,48.4525,"CB, CR, AR, Bido",26-04-15,2,Rousettus madagascariensis,MIZ91,MIZ91,0,0,0,0,0,0,0,0,0,3,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,55,10.43,69.2,33.4,15.6,3.7,3.9,yes,NA,15,NA,6,12,NA,2,2,2,NA,150,NA,NA,2,2,yes,no,mild,too small,Fed suagr water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Maromizaha,-18.9623,48.4525,"CB, CR, AR, Bido",26-04-15,2,Rousettus madagascariensis,MIZ92,MIZ92,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,58,11.094,71.97,33.2,16.72,1.7,2.6,yes,NA,17,NA,NA,12,NA,0,2,2,NA,400,NA,NA,2,2,yes,no,moderate,too small,Fed suagr water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Maromizaha,-18.9623,48.4525,"CB, CR, AR, Bido",26-04-15,2,Rousettus madagascariensis,MIZ93,MIZ93,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,60,11.42,71.6,29.6,14.9,4.4,3,yes,NA,4,NA,0,3,NA,0,2,2,NA,150,NA,NA,2,2,yes,no,mild,too small,Fed suagr water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Maromizaha,-18.9623,48.4525,"CB, CR, AR, Bido",26-04-15,2,Rousettus madagascariensis,MIZ94,MIZ94,0,0,0,0,0,0,0,0,0,1,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,62,10.412,71.9,34.88,13.71,NA,4.5,yes,NA,13,NA,0,6,NA,0,2,2,NA,400,NA,NA,2,2,yes,no,mild,too small,Fed suagr water post-processing then released.,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Maromizaha,-18.9623,48.4525,"CB, CR, AR, Bido",26-04-15,2,Rousettus madagascariensis,MIZ95,MIZ95,0,0,0,0,0,0,0,0,0,1,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,0,A,lower left canine,,NA,NA,,NA,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,35,9.99,66.3,30.2,16.8,small,NA,yes,0,NA,NA,0,2,NA,0,2,2,NA,100,NA,NA,2,2,yes,yes,mild,too small,Euthanized with halothane overdose + cervical dislocation. Wing broken on capture and protruding. Took 8 tissues + all 4 canines,NA,no,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB81,ANGB81,0,0,0,0,0,1,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,12,B,lower left premolar,,blue,L,209,209 Blue L,yes,KEL2,NA,NA,NA,female,NL,NA,NA,NA,NA,360,21.5,130,59.3,28.98,6.3,8.15,yes,NA,4,NA,0,6,NA,0,2,2,NA,600,NA,NA,2,2,yes,yes,moderate,9.1 (18:20); 98.8 (18:34); 100.7 (19:47); 99.3 (19:55); 97.3 (20:04); 96.8 (20:17); 97.3 (20:20),Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing.,NA,yes,0.25,0.4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB55,ANGB55,0,0,1,0,2,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,gold,L,384,384 Gold L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,370,23.1,125.9,68.2,25.6,6.7,10.1,yes,NA,10,NA,0,5,NA,0,2,2,NA,600,NA,NA,2,2,yes,no,mild,100.2 (8:24); 102.6 (8:45),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB56,ANGB56,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,gold,L,385,385 Gold L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,350,22.5,135,65,35,6.9,8.1,yes,NA,3,NA,1,2,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,97.7 (8:34); 99.9 (8:45); 100.1 (8:55),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB74,ANGB74,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,702,702 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,330,21,133,64.54,29.78,small,NA,yes,NA,3,NA,0,13,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,98.6 (15:11); 101.2 (15:25),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB79,ANGB79,1,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,1,A,lower left premolar,,blue,L,705,705 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,280,21,130,61.7,30.31,small,NA,yes,NA,5,NA,0,0,NA,0,2,2,NA,500,NA,NA,2,2,yes,yes,mild,98.8 (17:52); 100.3 (18:42); 97.9 (19:05),Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing.,NA,yes,0.25,0.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB78,ANGB78,0,0,0,0,0,1,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,0,B,lower left premolar,,blue,R,707,707 Blue R,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,350,25,125,60.56,26.76,small,NA,yes,NA,4,NA,0,13,NA,0,2,2,NA,500,NA,NA,2,2,yes,yes,mild,99.3 (16:13); 102.9 (16:27); 101 (16:50); 99.9 (16:56); 97.8 (17:01); 97.6 (17:04); 97.3 (17:08); 97.3 (17:11); 97.2 (17:20); 97.3 (17:22); 97.1 ( 17:29); 96.9 (17:32); 97 (17:37); 97 (17:40); 96.9 (17:43); ,Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing. Cara pricked finger with needle in tooth extraction.,NA,yes,0.25,0.4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB77,ANGB77,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,1,B,lower left premolar,,blue,L,708,708 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,380,20,130,67.78,26.85,7.33,8.12,yes,NA,3,NA,0,4,NA,0,2,2,NA,600,NA,NA,2,2,yes,no,mild,97.3 (17:15); 99.9 (17:51); 99.3 (17:56); 97.6 (18:06); 97.3 (18:13); 97 (18:25); 96.8 (18:31),Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing.,NA,yes,0.25,0.4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB73,ANGB73,0,0,0,0,0,2,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,709,709 Blue R,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,330,21.9,124.4,62.4,24.4,9.7,10.3,yes,NA,3,NA,0,7,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,100.8 (15:28); 103 (15:42),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB70,ANGB70,2,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,717,717 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,360,21.5,130,64.05,30.04,small,NA,yes,NA,9,NA,0,0,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,97.4 (14:18); 100.2 (14:28),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB80,ANGB80,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,721,721 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,370,21,135,65.46,30.68,6.82,8.54,yes,NA,17,NA,0,14,NA,0,2,2,NA,600,NA,NA,2,2,yes,yes,moderate,99.1 (16:44); 101. 6 (17:01); 97.3 (19:18); 97.4 (19:30); 96.4 (19:43),Lower left premolar tooth extracted perfectly. Fed sugar water x2 and released at dusk post-processing.,NA,yes,0.25,0.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB61,ANGB61,0,0,0,3,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,724,724 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,320,22.6,124.9,57.5,31.9,6.2,9.4,yes,NA,0,NA,0,5,NA,2,2,2,NA,600,NA,NA,2,2,yes,no,moderate,101.6 (10:14); 102.8 (10:30),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB64,ANGB64,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,726,726 Blue R,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,360,20,134,65.3,29.16,18.63,21.32,yes,NA,12,NA,0,2,NA,2,2,2,NA,500,NA,NA,2,2,yes,no,mild,97.3 (10:46); 101.2 (10:58); 101.9 (11:11),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB57,ANGB57,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,729,729 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,390,21.4,132.5,66.4,26,5.3,10.1,yes,NA,5,NA,0,21,NA,2,2,2,NA,500,NA,NA,2,2,yes,no,heavy,97.6 (9:02); 104.1 (9:29),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB76,ANGB76,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,738,738 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,350,25,140,64.81,29.28,7.56,9.22,yes,NA,13,NA,0,0,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,heavy,95.9 (15:36); 97.4 (15:48),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB63,ANGB63,0,1,0,1,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,740,740 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,325,21.8,127.5,66.2,27.9,2.1,3.8,yes,NA,2,NA,0,12,NA,0,2,2,NA,300,NA,NA,2,2,yes,no,moderate,97.6 (10:45); 102.8 (11:14),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB59,ANGB59,0,0,2,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,741,741 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,350,23,135.2,67,28,4.5,11.1,yes,NA,3,NA,0,1,NA,0,2,2,NA,600,NA,NA,2,2,yes,no,moderate,99 (9:42); 102.3 (9:54),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB71,ANGB71,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,750,750 Blue L ,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,300,22.8,127.5,65.1,25.5,6,10.1,yes,NA,0,NA,0,2,NA,0,2,2,NA,400,NA,NA,2,2,yes,no,mild,100.2 (14:50); 104.7 (15:00); WATER,Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB62,ANGB62,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,752,752 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,330,19,126,58.77,29.6,small,NA,yes,NA,3,NA,0,2,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,98.1 (10:14; 98.6 (10:24),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB69,ANGB69,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,754,754 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,270,21.5,126.8,60.6,20.4,7.3,12.4,yes,NA,5,NA,0,0,NA,0,2,2,NA,600,NA,NA,2,2,yes,no,mild,97.1 (14:20); 98.9 (14:31),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB65,ANGB65,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,757,757 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,360,22.1,137.8,74.8,24.4,5.9,8.2,yes,NA,5,NA,0,11,NA,0,2,2,NA,400,NA,NA,2,2,yes,no,moderate,99.9 (11:34); 101.9 (11:57),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB58,ANGB58,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,760,760 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,340,21.5,130,61.23,30.4,small,NA,yes,NA,7,NA,0,2,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,moderate,97.6 (9:05); 99.8 (9:16); 101.1 (9:30),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB68,ANGB68,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,762,762 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,350,21.5,130,62.5,23.41,6.88,8.25,yes,NA,0,NA,0,0,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,98 (12:23); 99 (12:32); 99.6 (12:34),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB67,ANGB67,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,3,A,lower left premolar,,blue,L,765,765 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,380,22.1,136.1,67.2,33.2,7.8,10,yes,NA,3,NA,0,8,NA,2,2,2,NA,600,NA,NA,2,2,yes,no,mild,99.7 (12:18); 102.1 (12:45),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB72,ANGB72,0,0,0,0,0,0,1,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,766,766 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,300,20,125,58.28,28.03,small,NA,yes,NA,2,NA,0,2,NA,0,2,2,NA,600,NA,NA,2,2,yes,no,mild,100.6 (14:43),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB60,ANGB60,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,771,771 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,340,20,135,62.89,28.7,small,NA,yes,NA,2,NA,0,3,NA,0,2,2,NA,400,NA,NA,2,2,yes,no,mild,97.7 (9:44); 99.8 (9:52); 101.8 (10:09),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB66,ANGB66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,blood_pellet_B,christian_ranaivoson,0,nuoG,no,NA,NA,NA,,blue,L,785,785 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,330,20.5,130,63.01,33.05,6.04,8.08,yes,NA,14,NA,0,2,NA,0,2,2,NA,200,NA,NA,0,2,yes,no,mild,97.5 (11:35); 98.2 (11:45); 102 (12:03); 101.4 (12:12),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB75,ANGB75,0,0,1,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,L,795,795 Blue L,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,325,20.4,129.9,68.3,27,5.4,9.5,yes,NA,8,NA,0,4,NA,0,2,2,NA,500,NA,NA,2,2,yes,no,mild,99.7 (16:08); 98.6 (16:27),Fed sugar water x2 and released at dusk post-processing`` ,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB82,ANGB82,0,0,0,0,2,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,9.5,A,lower left premolar,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,270,20.6,127.2,52.3,31.8,6.7,8.4,yes,NA,2,NA,0,0,NA,0,2,2,NA,600,NA,NA,2,2,yes,yes,moderate,NA,Dead from hunters upon arrival. Most bat flies and other ectos already departed. Took 3 canines + 1 premolar + 8 tissues,NA,no,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB83,ANGB83,1,1,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,3,A,lower right canine,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,300,20.7,127,54.4,33.7,6.1,8.7,yes,NA,1,NA,0,0,NA,0,2,2,NA,1000,NA,NA,2,2,yes,yes,moderate,NA,Dead from hunters upon arrival. Most bat flies and other ectos already departed. Took 3 canines + 8 tissues,NA,no,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,
AngavoBe,-18.944,47.9491,"CB, CR, AR, Bido",27-04-15,1,Eidolon dupreanum,ANGB84,ANGB84,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,2.75,A,lower right canine,,NA,NA,,NA,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,310,21.2,133.4,66.6,31.2,6.9,11.9,yes,NA,0,NA,0,0,NA,0,2,2,NA,1000,NA,NA,2,2,yes,yes,moderate,NA,Dead from hunters upon arrival. Most bat flies and other ectos already departed. Took all 4 canines + 8 tissues,NA,no,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,
