"","ID","SITE_ID","Humid_bf_201801","Humid_bf_201802","Humid_bf_201803","Humid_bf_201804","Humid_bf_201805","Humid_bf_201806","Humid_bf_201807","Humid_bf_201808","Humid_bf_201809","Humid_bf_201810","Humid_bf_201811","Humid_bf_201812","Humid_bf_201901","Humid_bf_201902","Humid_bf_201903","Humid_bf_201904","Humid_bf_201905","Humid_bf_201906","Humid_bf_201907","Humid_bf_201908","Humid_bf_201909","Humid_bf_201910","Humid_bf_201911","Humid_bf_201912"
"14",7,"Lakato",78.8821640014648,77.6432113647461,78.8294219970703,77.261848449707,76.5280075073242,69.7920684814453,70.0933456420898,70.1759796142578,71.4829788208008,75.7299499511719,77.9476623535156,75.9668273925781,80.4208984375,77.6939010620117,78.7377777099609,79.5744781494141,76.182243347168,75.0486755371094,70.7706451416016,68.7291946411133,69.0741729736328,75.6903686523438,80.9086608886719,79.2612380981445
"15",8,"Mahabo",46.1598472595215,47.3642311096191,37.9637413024902,39.2393569946289,33.7249984741211,34.6893310546875,33.4453239440918,23.6521167755127,24.7719974517822,26.7378692626953,28.3834476470947,34.8338661193848,53.6183547973633,48.2154731750488,46.7311973571777,38.078125,38.4917793273926,38.4615478515625,32.5881385803223,23.4834957122803,28.597110748291,25.9497928619385,29.8560581207275,35.6137619018555
"16",8,"Mahabo",48.2916488647461,49.4974594116211,45.4284019470215,42.9310455322266,36.7548065185547,38.7876243591309,32.9269409179688,28.1742153167725,33.2615509033203,32.4178619384766,32.8903427124023,40.545093536377,57.3639640808105,52.4133720397949,52.9112281799316,43.8283882141113,41.2072944641113,41.5585975646973,35.3850250244141,27.8616561889648,31.3128566741943,32.2647972106934,35.8686370849609,42.1548004150391
"17",8,"Mahabo",48.9267387390137,49.7057800292969,41.5151062011719,42.5221748352051,33.964054107666,33.251033782959,31.4648170471191,24.25754737854,27.0981597900391,28.0826110839844,29.7145462036133,38.5024070739746,55.3731575012207,51.1524238586426,50.6219215393066,41.6985473632812,38.9114074707031,36.8713531494141,31.6768779754639,22.4490585327148,28.5811100006104,28.2675666809082,31.9474868774414,40.7910079956055
"18",8,"Mahabo",46.1598472595215,47.3642311096191,37.9637413024902,39.2393569946289,33.7249984741211,34.6893310546875,33.4453239440918,23.6521167755127,24.7719974517822,26.7378692626953,28.3834476470947,34.8338661193848,53.6183547973633,48.2154731750488,46.7311973571777,38.078125,38.4917793273926,38.4615478515625,32.5881385803223,23.4834957122803,28.597110748291,25.9497928619385,29.8560581207275,35.6137619018555
"19",9,"Mahialambo",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"20",10,"Makira",78.821403503418,79.0226135253906,78.2188415527344,80.5584106445312,77.1203689575195,76.4777450561523,74.1696929931641,71.8974380493164,75.6565170288086,76.000358581543,78.125,77.9241485595703,80.3349380493164,80.5582275390625,79.8484725952148,82.5274276733398,79.2948760986328,74.7722549438477,76.4150619506836,74.2635345458984,76.2238311767578,76.7232894897461,80.5936584472656,80.6428070068359
"21",10,"Makira",71.8051910400391,71.3371047973633,69.8197784423828,71.8872756958008,66.3302993774414,68.3779602050781,68.593505859375,63.935302734375,65.301513671875,60.560604095459,66.1824493408203,65.4553680419922,73.5143661499023,71.4686660766602,70.3490905761719,72.9499588012695,69.3547897338867,68.5967102050781,69.9981231689453,67.3948745727539,65.8751373291016,60.810115814209,66.3107681274414,69.3525695800781
"22",10,"Makira",78.821403503418,79.0226135253906,78.2188415527344,80.5584106445312,77.1203689575195,76.4777450561523,74.1696929931641,71.8974380493164,75.6565170288086,76.000358581543,78.125,77.9241485595703,80.3349380493164,80.5582275390625,79.8484725952148,82.5274276733398,79.2948760986328,74.7722549438477,76.4150619506836,74.2635345458984,76.2238311767578,76.7232894897461,80.5936584472656,80.6428070068359
"23",11,"Mangarivotra",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"24",11,"Mangarivotra",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"25",11,"Mangarivotra",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"26",12,"Maromizaha",78.8821640014648,77.6432113647461,78.8294219970703,77.261848449707,76.5280075073242,69.7920684814453,70.0933456420898,70.1759796142578,71.4829788208008,75.7299499511719,77.9476623535156,75.9668273925781,80.4208984375,77.6939010620117,78.7377777099609,79.5744781494141,76.182243347168,75.0486755371094,70.7706451416016,68.7291946411133,69.0741729736328,75.6903686523438,80.9086608886719,79.2612380981445
"27",12,"Maromizaha",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"28",12,"Maromizaha",78.8821640014648,77.6432113647461,78.8294219970703,77.261848449707,76.5280075073242,69.7920684814453,70.0933456420898,70.1759796142578,71.4829788208008,75.7299499511719,77.9476623535156,75.9668273925781,80.4208984375,77.6939010620117,78.7377777099609,79.5744781494141,76.182243347168,75.0486755371094,70.7706451416016,68.7291946411133,69.0741729736328,75.6903686523438,80.9086608886719,79.2612380981445
"29",13,"Marotsipohy",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"30",13,"Marotsipohy",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"31",13,"Marotsipohy",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"32",14,"Marovitsika",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
