Accession_Number_Old,Accession_Number,X,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection,Type
MIZ484_EM_F27A,OR732268,OR732268,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ484_EM_M27B,OR732296,OR732296,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ484_EM_M28,OR732288,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ485_EM_MA,OR732275,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ485_W_1M,OR732277,,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,NA,Madagascar,1
MIZ485_W_M28,OR732302,,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,NA,Madagascar,1
MIZ487_EM_M27B,OR732272,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ492_EM_B,OR732297,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ492_W_1M,OR732258,,Megastrebla,wenzeli,Megastrebla_wenzeli,Rousettus_madagascariensis,NA,Madagascar,1
MIZ497_EM_B,OR732285,OR732285,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ497_EM_MA,OR732306,OR732306,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ512_EM_MA,OR732242,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ534_EM_MA,OR732260,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ543_EM_MA,OR732308,OR732308,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU114_EM_MA,OR732274,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU114_W_B,OR732264,OR732264,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU120_EM_FA,OR732251,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU120_EM_M27B,OR732261,OR732261,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU120_EM_M28,OR732237,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU124_EM_F27A,OR732298,OR732298,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU124_EM_M28,OR732273,OR732273,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU124_EM_NA27B,OR732299,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU131_EM_M27A,OR732270,OR732270,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU131_EM_M28B,OR732246,OR732246,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU132_EM_B,OR732293,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU132_EM_MA,OR732309,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU139_EM_M27A,OR732271,OR732271,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU176_EM_NA27B,OR732263,OR732263,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU184_EM_F27A,OR732245,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU184_EM_M28,OR732291,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU184_EM_NA27B,OR732239,OR732239,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU187_EM_M27A,OR732243,OR732243,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU187_EM_M27B,OR732265,OR732265,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU189_EM_F27B,OR732278,OR732278,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU189_EM_F28,OR732266,OR732266,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU192_EM_M27A,OR732303,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU192_EM_M28,OR732301,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
ROU192_EM_NA27B,OR732238,OR732238,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
KR997994,KR997994,,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR997992,KR997992,KR997992,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
