ID,Box,Bat_species,Bat_SampleID,Ecto_type,Ecto_genus,Ecto_species,Ecto_ID,Count,Male,Female,Notes,Photo
AFA,ED_F1,Eiodolon_dupreaneum,KEL161,Flea,Thaumapsylla,Thaumapsylla_sp,KEL161_Th,2,1,1,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL161,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL161_Cd,5,2,3,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL162,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL162_Cd,2,1,1,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL163,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL162_Cd,3,1,2,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL165,Flea,Thaumapsylla,Thaumapsylla_sp,KEL165_Cd,2,0,2,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL165,Mite,Meristapsis,Meristapsis_spp1,KEL165_M1,3,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL166,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL166_Cd,1,1,0,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL166,Mite,Meristapsis,Meristapsis_spp1,KEL166_M1,2,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL167,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL167_Cd,2,1,1,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL167,Flea,Thaumapsylla,Thaumapsylla_sp,KEL167_Th,1,1,0,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL167,Mite,Meristapsis,Meristapsis_spp1,KEL167_M1,1,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL168,Mite,Meristapsis,Meristapsis_spp1,KEL168_M1,20,NA,NA,3 small body with long legs,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL169,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL169_Cd,6,1,5,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL170,Flea,Thaumapsylla,Thaumapsylla_sp,KEL170_Th,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL170,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL170_Cd,7,2,5,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL171,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL171_Cd,4,4,0,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL171,Flea,Thaumapsylla,Thaumapsylla_sp,KEL171_Th,2,0,2,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL172,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL172_Cd,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL173,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL173_Cd,4,3,1,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL173,Mite,Meristapsis,Meristapsis_spp1,KEL173_M1,1,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL174,Mite,Meristapsis,Meristapsis_spp1,KEL174_M1,4,NA,NA,1small body like papaya shap,
AFA,ED_M1,Eiodolon_dupreaneum,KEL175,Mite,Meristapsis,Meristapsis_spp1,KEL175_M1,6,NA,NA,1small body like papaya shap,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL176,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL176_Cd,3,1,2,Sampls a bit altered,
AFA,ED_M1,Eiodolon_dupreaneum,KEL176,Mite,Meristapsis,Meristapsis_spp1,KEL176_M1,4,NA,NA,Sampls a bit altered,
AFA,ED_F1,Eiodolon_dupreaneum,KEL176,Flea,Thaumapsylla,Thaumapsylla_sp,KEL176_Th,4,2,2,Sampls a bit altered,
AFA,ED_M1,Eiodolon_dupreaneum,KEL177,Mite,Meristapsis,Meristapsis_spp1,KEL177_M1,4,NA,NA,1small body like papaya shap,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL178,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL178_Cd,7,3,4,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL178,Mite,Meristapsis,Meristapsis_spp1,KEL178_M1,3,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL178,Mite,NA,Mite_2,KEL178_M2,1,NA,NA,"Small, probably young mites??",NA
AFA,ED_BF1,Eiodolon_dupreaneum,KEL179,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL179_Cd,2,1,1,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL179,Mite,Meristapsis,Meristapsis_spp1,KEL179_M1,1,NA,NA,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL164,Flea,Thaumapsylla,Thaumapsylla_sp,KEL164_Th,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL164,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL164_Cd,11,5,6,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL180,Flea,Thaumapsylla,Thaumapsylla_sp,KEL180_Th,7,3,4,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL180,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL180_Cd,4,2,2,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL180,Mite,Meristapsis,Meristapsis_spp1,KEL180_M1,12,NA,NA,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL181,Flea,Thaumapsylla,Thaumapsylla_sp,KEL181_Th,10,6,4,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL181,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL181_Cd,2,0,2,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL181,Mite,Meristapsis,Meristapsis_spp1,KEL181_M1,3,NA,NA,Sampls a bit altered,
AFA,ED_M1,Eiodolon_dupreaneum,KEL182,Mite,Meristapsis,Meristapsis_spp1,KEL182_M1,4,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL182,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL182_Cd,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL183,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL183_Cd,1,1,0,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL183,Flea,Thaumapsylla,Thaumapsylla_sp,KEL183_Th,1,0,1,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL183,Mite,Meristapsis,Meristapsis_spp1,KEL183_M1,8,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL185,Mite,Meristapsis,Meristapsis_spp1,KEL185_M1,4,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL185,Mite,NA,Mite_2,KEL185_M2,1,NA,NA,this could be ,
AFA,Ziplock,Eiodolon_dupreaneum,KEL391,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL391_Cd,1,1,0,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL391,Mite,Meristapsis,Meristapsis_spp1,KEL391_M1,11,1,10,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL392,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL392_Cd,3,0,3,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL393,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL393_Cd,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL393,Mite,NA,Mite_2,KEL393_M2,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL393,Mite,Meristapsis,Meristapsis_spp1,KEL393_M1,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL394,Mite,NA,Mite_2,KEL394_M2,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL394,Mite,Meristapsis,Meristapsis_spp1,KEL394_M1,24,3,21,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL395,Mite,NA,Mite_2,KEL395_M2,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL396,Mite,Meristapsis,Meristapsis_spp1,KEL396_M1,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL396,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL396_Cd,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL396,Mite,NA,Mite_2,KEL396_M2,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL396,NA,NA,Unknown,KEL396_Unk,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL398,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL398_Cd,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL398,Flea,Thaumapsylla,Thaumapsylla_sp,KEL398_Th,2,1,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,KEL400,Flea,Thaumapsylla,Thaumapsylla_sp,KEL400_Th,1,1,0,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY036,Mite,NA,Mite_2,WAY036_M2,2,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY036,Ticks,Ornithodoros,Ornithodoros_sp1,WAY036_Or,10,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY036,Mite,Meristapsis,Meristapsis_spp1,WAY036_M1,2,1,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY026,Ticks,Ornithodoros,Ornithodoros_sp1,WAY026_Or,13,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY026,Mite,NA,Mite_2,WAY026_M2,3,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY026,Mite,Meristapsis,Meristapsis_spp1,WAY026_M1,5,1,4,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY029,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY029_Cd,6,4,2,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY029,Ticks,Ornithodoros,Ornithodoros_sp1,WAY029_Or,9,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY029,Flea,Thaumapsylla,Thaumapsylla_sp,WAY029_Th,1,1,0,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY029,Mite,Meristapsis,Meristapsis_spp1,WAY029_M1,2,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY053,Mite,Meristapsis,Meristapsis_spp1,WAY053_M1,9,2,7,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY053,Ticks,Ornithodoros,Ornithodoros_sp1,WAY053_Or,6,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY053,Mite,NA,Mite_2,WAY053_M2,2,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY050,Mite,Meristapsis,Meristapsis_spp1,WAY050_M1,10,4,6,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY050,Ticks,Ornithodoros,Ornithodoros_sp1,WAY050_Or,20,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY050,Mite,NA,Mite_2,WAY050_M2,3,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY050,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY050_Cd,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY052,Mite,Meristapsis,Meristapsis_spp1,WAY052_M1,3,1,2,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY052,Ticks,Ornithodoros,Ornithodoros_sp1,WAY052_Or,3,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY052,Mite,NA,Mite_2,WAY052_M2,3,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY035,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY035_Cd,2,1,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY035,Mite,NA,Mite_2,WAY035_M2,6,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY035,Ticks,Ornithodoros,Ornithodoros_sp1,WAY035_Or,1,NA,NA,Not scratch pened,
