sampleid,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,processing_date,processing_time_start,processing_time_end,bat_species,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,bat_forearm_mm,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,total_ectos
MIZ371,Maromizaha_Rmad,-18.9623,48.4525,"CB, AG, KR, AA, FR, Vero",59,2/1/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIZ369,20,56.4,6,0,0,0,0,NA,6
MIZ403,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,75,74,19,1,0,2,0,NA,22
MIZ404,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,75,72.3,12,0,0,1,0,NA,13
MIZ405,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,70,68.5,14,0,0,0,0,NA,14
MIZ406,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,65,75.1,6,1,0,1,0,NA,8
MIZ407,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,60,68.9,10,0,0,5,0,NA,15
MIZ408,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,75,75,20,0,0,5,0,NA,25
MIZ409,Maromizaha_Rmad,-18.9623,48.4525,"KR, AG, AA, FR",65,4/11/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,55,71.4,1,0,3,23,3,NA,30
MIZ410,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,69,75.1,6,0,0,8,0,NA,14
MIZ411,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,50,73.2,10,0,0,1,0,NA,11
MIZ412,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,55,73.1,4,0,0,3,0,NA,7
MIZ413,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,55,69.6,7,0,0,8,0,NA,15
MIZ414,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,unknown,J,no,no,NA,NA,37,61.2,2,0,1,4,0,NA,7
MIZ415,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,73,76.5,16,0,0,4,0,NA,20
